75 3
       1, 1, 0.0
       1, 2, 0.0
       1, 3, 0.0
      82, 1, 0.0
      82, 2, 0.0
      82, 3, 0.0
     163, 1, 0.0
     163, 2, 0.0
     163, 3, 0.0
     244, 1, 0.0
     244, 2, 0.0
     244, 3, 0.0
     325, 1, 0.0
     325, 2, 0.0
     325, 3, 0.0
     406, 1, 0.0
     406, 2, 0.0
     406, 3, 0.0
     487, 1, 0.0
     487, 2, 0.0
     487, 3, 0.0
     568, 1, 0.0
     568, 2, 0.0
     568, 3, 0.0
     649, 1, 0.0
     649, 2, 0.0
     649, 3, 0.0
     730, 1, 0.0
     730, 2, 0.0
     730, 3, 0.0
     811, 1, 0.0
     811, 2, 0.0
     811, 3, 0.0
     892, 1, 0.0
     892, 2, 0.0
     892, 3, 0.0
     973, 1, 0.0
     973, 2, 0.0
     973, 3, 0.0
    1054, 1, 0.0
    1054, 2, 0.0
    1054, 3, 0.0
    1135, 1, 0.0
    1135, 2, 0.0
    1135, 3, 0.0
    1216, 1, 0.0
    1216, 2, 0.0
    1216, 3, 0.0
    1297, 1, 0.0
    1297, 2, 0.0
    1297, 3, 0.0
    1378, 1, 0.0
    1378, 2, 0.0
    1378, 3, 0.0
    1459, 1, 0.0
    1459, 2, 0.0
    1459, 3, 0.0
    1540, 1, 0.0
    1540, 2, 0.0
    1540, 3, 0.0
    1621, 1, 0.0
    1621, 2, 0.0
    1621, 3, 0.0
    1702, 1, 0.0
    1702, 2, 0.0
    1702, 3, 0.0
    1783, 1, 0.0
    1783, 2, 0.0
    1783, 3, 0.0
    1864, 1, 0.0
    1864, 2, 0.0
    1864, 3, 0.0
    1945, 1, 0.0
    1945, 2, 0.0
    1945, 3, 0.0
